Ezekiel 34:11-16,St Peter & St Paul
"Ezekiel 34:11-16,20-24",Proper 29A
Ezekiel 36:24-28,Easter Vigil
Ezekiel 37:1-14,Lent 5A
Ezekiel 37:1-14,Easter Vigil
Ezekiel 37:1-14,Vigil of Pentecost
Ezekiel 37:1-14,Day of Pentecost B
"Daniel 7:1-3,15-18",All Saints C
"Daniel 7:9-10,13-14",Proper 29B
Daniel 12:1-3,Proper 28B
Hosea 1:2-10,Proper 12C
Hosea 2:14-20,Epiphany 8B / Proper 3B
Hosea 5:15—6:6,Proper 5A
Hosea 11:1-11,Proper 13C
"Joel 2:1-2,12-17","Ash Wednesday A,B,C"
Joel 2:21-27,Thanksgiving Day B
Joel 2:23-32,Proper 25C
Joel 2:28-32,Vigil of Pentecost
"Amos 5:6-7,10-15",Proper 23B
Amos 5:18-24,Proper 27A
"Amos 6:1a,4-7",Proper 21C
Amos 7:7-15,Proper 10B
Amos 7:7-17,Proper 10C
Amos 8:1-12,Proper 11C
Amos 8:4-7,Proper 20C
"Jonah 3:1-5,10",Epiphany 3B
Jonah 3:10—4:11,Proper 20A
Micah 3:5-12,Proper 26A
Micah 5:2-5a,Advent 4C
Micah 6:1-8 ,Epiphany 4A
Habakkuk 1:1-4; 2:1-4,Proper 22C
Habakkuk 1:1-4; 2:1-4,Proper 26C
Habakkuk 2:1-4,St Thomas
"Zephaniah 1:7,12-18",Proper 28A
Zephaniah 3:14-20,Advent 3C
Zephaniah 3:14-20,Easter Vigil
Haggai 1:15b—2:9,Proper 27C
Zechariah 9:9-12,Proper 9A
Malachi 3:1-4,Advent 2C
Malachi 3:1-4,The Presentation
Malachi 4:1-2a,Proper 28C
"Judith 9:1,11-14",St Mary Magdalene
Wisdom of Solomon 1:13-15; 2:23-24,Proper 8B
"Wisdom of Solomon 1:16—2:1,12-22",Proper 20B
Wisdom of Solomon 3:1-9,All Saints B
Wisdom of Solomon 6:12-16,Proper 27A
Wisdom of Solomon 6:17-20,Proper 27A
Wisdom of Solomon 7:26—8:1,Proper 19B
"Wisdom of Solomon 12:13,16-19",Proper 11A
Sirach (Ecclesiasticus) 10:12-18,Proper 17C
Sirach (Ecclesiasticus) 15:15-20 ,Epiphany 6A / Proper 1A
Sirach (Ecclesiasticus) 27:4-7,Epiphany 8C / Proper 3C
Sirach (Ecclesiasticus) 35:12-17,Proper 25C
"Sirach (Ecclesiasticus) 38:1-4, 6-10,12-14",St Luke
"Baruch 3:9-15,32—4:4",Easter Vigil
